Kecamatan,,,,,,,,,
,Jumlah Ruang Kelas Sekolah Menengah Atas Menurut Kondisi,,,,,,,,
,Baik,,,Rusak Ringan,,,Rusak Berat,,
,2015,2016,2017,2015,2016,2017,2015,2016,2017
Silaut,9,8,7,-,2,2,-,-,1
Lunang,11,18,-,8,10,19,-,-,1
Basa Ampek Balai Tapan,22,22,26,1,1,2,2,2,-
Pancung Soal,13,12,9,6,6,12,5,6,3
Airpura,15,13,17,-,4,2,-,-,-
Linggo Sari Baganti,-,-,-,20,20,19,4,4,11
Ranah Pesisir,-,-,4,12,12,21,25,25,20
Lengayang,15,15,9,48,48,51,-,-,4
Sutera,12,12,14,28,28,31,-,-,-
Batang Kapas,16,16,8,23,23,36,6,6,3
IV Jurai,36,36,39,27,27,29,3,3,1
Bayang,14,14,12,33,33,34,-,-,3
IV Nagari Bayang Utara,-,-,-,12,2,12,-,-,-
Koto XI Tarusan,-,1,2,49,48,54,-,-,-
KABUPATEN PESISIR SELATAN,163,167,147,267,264,324,45,46,47
